연번,구분,데이터명,사이트 주소,날짜,다운로드 횟수
75,자율주행 도로 인프라 데이터,도로노면상태 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=728,2024-02-20 11:09:44,26
76,자율주행 도로 인프라 데이터,보행자케어 검지내역,https://bigdata-geo.kr/user/dataset/view.do?data_sn=730,2024-02-20 11:09:45,27
77,자율주행 도로 인프라 데이터,판교제로시티 CCTV 차량추적 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=731,2024-02-20 11:09:45,7
78,자율주행 도로 인프라 융합 데이터,판교 제로시티 카메라-라이다 융합 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=732,2024-02-20 11:09:46,10
79,자율주행 차량 융합 데이터,차량 카메라-라이다 융합 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=733,2024-02-20 11:09:47,3
80,공간융합 데이터,도로시설물 위치 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=729,2024-02-20 11:09:48,28
81,자율주행 차량 데이터,➀ 차량 라이다 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=21,2024-02-22 13:15:52,87
82,자율주행 차량 데이터,➁ 차량 카메라 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=207,2024-02-22 13:15:53,137
83,자율주행 차량 데이터,➂ 차량 기본안전메시지,https://bigdata-geo.kr/user/dataset/view.do?data_sn=17,2024-02-22 13:15:54,106
84,자율주행 차량 데이터,➃ 차량 GPS/INS 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=18,2024-02-22 13:15:54,91
85,자율주행 차량 데이터,➄ 차량 객체인식정보 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=19,2024-02-22 13:15:55,90
86,자율주행 차량 데이터,➅ 차량 상태정보 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=20,2024-02-22 13:15:56,97
87,자율주행 차량 데이터,➆ 차량 제어정보 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=22,2024-02-22 13:15:57,91
88,자율주행 도로 인프라 데이터,➀ 판교제로시티 CCTV 교통계측 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=16,2024-02-22 13:15:58,375
89,자율주행 도로 인프라 데이터,➂ 판교제로시티 라이다 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=240,2024-02-22 13:15:59,70
90,자율주행 도로 인프라 데이터,➃ 판교제로시티 레이더 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=241,2024-02-22 13:15:59,141
91,자율주행 도로 인프라 데이터,도로노면상태 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=728,2024-02-22 13:16:00,26
92,자율주행 도로 인프라 데이터,보행자케어 검지내역,https://bigdata-geo.kr/user/dataset/view.do?data_sn=730,2024-02-22 13:16:01,27
93,자율주행 도로 인프라 데이터,판교제로시티 CCTV 차량추적 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=731,2024-02-22 13:16:02,7
94,자율주행 도로 인프라 융합 데이터,판교 제로시티 카메라-라이다 융합 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=732,2024-02-22 13:16:02,10
95,자율주행 차량 융합 데이터,차량 카메라-라이다 융합 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=733,2024-02-22 13:16:03,3
96,공간융합 데이터,도로시설물 위치 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=729,2024-02-22 13:16:04,28
97,자율주행 차량 데이터,➀ 차량 라이다 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=21,2024-02-26 11:19:22,87
98,자율주행 차량 데이터,➁ 차량 카메라 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=207,2024-02-26 11:19:23,137
99,자율주행 차량 데이터,➂ 차량 기본안전메시지,https://bigdata-geo.kr/user/dataset/view.do?data_sn=17,2024-02-26 11:19:24,106
100,자율주행 차량 데이터,➃ 차량 GPS/INS 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=18,2024-02-26 11:19:24,91
101,자율주행 차량 데이터,➄ 차량 객체인식정보 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=19,2024-02-26 11:19:25,90
102,자율주행 차량 데이터,➅ 차량 상태정보 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=20,2024-02-26 11:19:26,97
